級	熟語	読み
10	下町	[したまち]
10	口先	[くちさき]
10	小人	[ショウジン,ショウニン,こびと]
10	上人	[ショウニン]
10	町人	[チョウニン]
10	天人	[テンニン]
10	女人	[ニョニン]
10	文人	[ブンジン]
10	本人	[ホンニン]
10	名人	[メイジン]
10	空耳	[そらみみ]
10	中耳	[チュウジ]
10	早耳	[はやみみ]
10	三五	[サンゴ]
10	三三五五	[サンサンゴゴ]
10	見学	[ケンガク]
10	耳学	[ジガク]
10	先学	[センガク]
10	文学	[ブンガク]
10	金文	[キンブン]
10	空文	[クウブン]
10	人文	[ジンブン]
10	天文	[テンモン]
10	本文	[ホンモン,ホンブン]
10	名文	[メイブン]
10	雨天	[ウテン]
10	青天	[セイテン]
10	中天	[チュウテン]
10	雨水	[ウスイ,あまみず]
10	下水	[ゲスイ]
10	山水	[サンスイ]
10	入水	[ジュスイ,ニュウスイ]
10	出水	[シュッスイ,でみず]
10	上水	[ジョウスイ]
10	大水	[タイスイ,おおみず]
10	天水	[テンスイ]
10	糸口	[いとぐち]
10	人口	[ジンコウ]
10	正気	[ショウキ,セイキ]
10	生気	[セイキ]
10	大気	[タイキ]
10	人気	[ニンキ,ひとケ]
10	左右	[サユウ]
10	草木	[ソウモク,くさき]
10	土木	[ドボク]
10	名木	[メイボク]
10	火田	[カデン]
10	水田	[スイデン,みずた]
10	水草	[スイソウ,みずくさ]
10	校正	[コウセイ]
10	中正	[チュウセイ]
10	口車	[くちぐるま]
10	下車	[ゲシャ]
10	山車	[サンシャ,だし]
10	水車	[スイシャ,みずぐるま]
10	学校	[ガッコウ]
10	休校	[キュウコウ]
10	下校	[ゲコウ]
10	入校	[ニュウコウ]
10	本校	[ホンコウ]
10	山雨	[サンウ]
10	白雨	[ハクウ]
10	草本	[ソウホウ]
10	手本	[てホン]
10	見本	[みホン]
10	出土	[シュツド]
10	本土	[ホンド]
10	下足	[ゲソク]
10	土足	[ドソク]
10	人足	[ニンソク]
10	百足	[ヒャクソク,むかで]
10	一生	[イッショウ]
10	学生	[ガクセイ]
10	七生	[シチセイ,シチショウ]
10	出生	[シュッセイ,シュッショウ]
10	人生	[ジンセイ]
10	先生	[センセイ]
10	下手	[カシュ,ゲシュ,したて,しもて,へた]
10	空手	[クウシュ,からて]
10	上手	[ジョウシュ,うわて,かみて,じょうず]
10	入手	[ニュウシュ]
10	名手	[メイシュ]
10	年休	[ネンキュウ]
10	一円	[イチエン]
10	学名	[ガクメイ]
10	人名	[ジンメイ]
10	本名	[ホンミョウ]
10	山村	[サンソン]
10	町村	[チョウソン]
10	金玉	[キンギョク]
10	花王	[カオウ]
10	天王	[テンノウ]
10	耳目	[ジモク]
10	名目	[メイモク]
10	木目	[モクめ]
10	夕日	[セキジツ,ゆうひ]
10	中日	[チュウニチ,なかび]
10	天日	[テンぴ]
10	七夕	[シチセキ,たなばた]
10	日夕	[ニッセキ]
10	早出	[はやで]
10	火山	[カザン]
10	金山	[キンザン,かなやま]
10	下山	[ゲザン]
10	青山	[セイザン]
10	玉音	[ギョクオン]
10	子音	[シイン,シオン]
10	中立	[チュウリツ]
10	林立	[リンリツ]
10	出入	[シュツニュウ]
10	先入	[センニュウ]
10	下男	[ゲナン]
10	玉石	[ギョクセキ,たまいし]
10	金石	[キンセキ]
10	木石	[ボクセキ]
10	石	[ロウセキ]
10	王女	[オウジョ]
10	下女	[ゲジョ]
10	子女	[シジョ]
10	天女	[テンニョ]
10	王子	[オウジ]
10	金子	[キンス]
10	天子	[テンシ]
10	中空	[チュウクウ]
10	天空	[テンクウ]
10	月下	[ゲッカ]
10	足下	[ソッカ,あしもと]
10	天下	[テンカ]
10	目下	[モッカ,めした]
10	学力	[ガクリョク]
10	火力	[カリョク]
10	気力	[キリョク]
10	出力	[シュツリョク]
10	人力	[ジンリョク,ジンリキ]
10	水力	[スイリョク]
10	入力	[ニュウリョク]
10	学年	[ガクネン]
10	生年	[セイネン]
10	青年	[セイネン]
10	先年	[センネン]
10	中年	[チュウネン]
10	本年	[ホンネン]
10	日月	[ジツゲツ]
10	正月	[ショウガツ]
10	水月	[スイゲツ]
10	年月	[ネンゲツ,としつき]
10	名月	[メイゲツ]
10	出火	[シュッカ]
10	学林	[ガクリン]
10	山林	[サンリン]
10	森林	[シンリン]
10	竹林	[チクリン]
10	空白	[クウハク]
10	空中	[クウチュウ]
10	車中	[シャチュウ]
10	手中	[シュチュウ]
10	日中	[ニッチュウ,ひなか]
10	口上	[コウジョウ]
10	水上	[スイジョウ]
10	天上	[テンジョウ]
10	金糸	[キンシ]
10	名犬	[メイケン]
10	火花	[カカ,ひばな]
10	生花	[セイカ]
10	百花	[ヒャッカ]
10	名花	[メイカ]
10	山川	[サンセン,やまかわ,やまがわ]
10	大川	[タイセン,おおかわ]
10	正字	[セイジ]
10	本字	[ホンジ]
10	名字	[ミョウジ]
10	文字	[モンジ,モジ]
10	先見	[センケン]
10	花見	[はなみ]
10	赤貝	[あかがい]
10	百出	[ヒャクシュツ]
10	百人力	[ヒャクニンリキ]
10	百年	[ヒャクネン]
10	先先	[さきざき]
10	先口	[センくち]
10	先人	[センジン]
10	先手	[センて]
10	先天	[センテン]
10	人中	[ジンチュウ]
10	人力車	[ジンリキシャ]
10	人目	[ひとめ]
10	耳石	[ジセキ]
10	五十音	[ゴジュウオン]
10	五大	[ゴダイ]
10	五目	[ゴモク]
10	一字千金	[イチジセンキン]
10	一上一下	[イチジョウイチゲ]
10	一年草	[イチネンソウ]
10	一木一草	[イチボクイッソウ]
10	一文	[イチモン]
10	一見	[イッケン]
10	一糸	[イッシ]
10	一夕	[イッセキ]
10	一石	[イッセキ]
10	一手	[イッて]
10	一天	[イッテン]
10	一本気	[イッポンギ]
10	一花	[ひとはな]
10	文月	[ふみづき]
10	天気	[テンキ]
10	天金	[テンキン]
10	天王山	[テンノウザン]
10	天火	[テンぴ]
10	早早	[ソウソウ]
10	水火	[スイカ]
10	水気	[スイキ]
10	水中花	[スイチュウカ]
10	水貝	[みずがい]
10	水木	[みずき]
10	水子	[みずこ]
10	七五三	[シチゴサン]
10	七七日	[シチシチニチ]
10	七日	[なぬか]
10	口火	[くちび]
10	口耳	[コウジ]
10	木口	[きぐち]
10	木立	[こだち]
10	木本	[モクホン]
10	草草	[ソウソウ]
10	正大	[セイダイ]
10	正中	[セイチュウ]
10	正文	[セイブン]
10	正木	[まさき]
10	正目	[まさめ]
10	車力	[シャリキ]
10	校本	[コウホン]
10	九天	[キュウテン]
10	九九	[クク]
10	本気	[ホンキ]
10	本山	[ホンザン]
10	本草学	[ホンゾウガク]
10	本音	[ホンね]
10	土手	[ドて]
10	足早	[あしばや]
10	生口	[いきくち]
10	生一本	[きイッポン]
10	生糸	[きいと]
10	生生	[セイセイ]
10	生木	[なまき]
10	手金	[てキン]
10	手先	[てさき]
10	手下	[てした]
10	手玉	[てだま]
10	円月	[エンゲツ]
10	名子	[なご]
10	二年草	[ニネンソウ]
10	二百十日	[ニヒャクとおか]
10	村雨	[むらさめ]
10	青天白日	[セイテンハクジツ]
10	十中八九	[ジッチュウハック]
10	十手	[ジッて]
10	十字	[ジュウジ]
10	十目	[ジュウモク]
10	三七日	[サンシチニチ]
10	三日月	[みかづき]
10	三日天下	[みっかテンカ]
10	王水	[オウスイ]
10	目玉	[めだま]
10	日子	[ニッシ]
10	日本	[ニホン]
10	大字	[おおあざ]
10	大口	[おおぐち]
10	大手	[おおて]
10	大本	[おおもと]
10	大人	[タイジン]
10	大八車	[ダイハチぐるま]
10	大名	[ダイミョウ]
10	夕立	[ゆうだち]
10	出立	[シュッたつ]
10	出目金	[でめキン]
10	山気	[サンキ]
10	山火口	[やまぼくち]
10	山女	[やまめ]
10	金気	[かなケ]
10	金力	[キンリョク]
10	立花	[リッカ]
10	立木	[リュウボク]
10	男子	[ダンシ]
10	石竹	[セキチク]
10	石火	[セッカ]
10	女王	[ジョオウ]
10	女子	[ジョシ]
10	女木	[めぎ]
10	空目	[そらめ]
10	下文	[くだしぶみ]
10	下下	[ゲゲ]
10	下手人	[ゲシュニン]
10	下火	[したび]
10	力学	[リキガク]
10	年子	[としご]
10	年金	[ネンキン]
10	年中	[ネンジュウ]
10	年百年中	[ネンビャクネンジュウ]
10	赤四手	[あかシで]
10	赤口	[シャック]
10	赤子	[セキシ]
10	小草生月	[おぐさおいづき]
10	小字	[こあざ]
10	小雨	[こさめ]
10	小手	[こて]
10	小手先	[こてさき]
10	小生	[ショウセイ]
10	四十九日	[シジュウクニチ]
10	四十八手	[シジュウハッて]
10	四大	[シダイ]
10	四天王	[シテンノウ]
10	四六	[シロク]
10	四六文	[シロクブン]
10	火気	[カキ]
10	火口	[カコウ]
10	火中	[カチュウ]
10	火足	[ひあし]
10	白木	[しらき]
10	白子	[しらこ]
10	白玉	[しらたま]
10	白金	[しろがね]
10	白日	[ハクジツ]
10	白白	[ハクハク]
10	白文	[ハクブン]
10	中気	[チュウキ]
10	中子	[なかご]
10	千金	[センキン]
10	千六本	[センロッポン]
10	千木	[ちぎ]
10	千草	[ちぐさ]
10	千千	[ちぢ]
10	上気	[ジョウキ]
