ID	漢字	部首	画数	音読	訓読	級
5920000	百	白	6	[ヒャク]	[]	10
4781400	町	田	7	[チョウ]	[[まち]]	10
4040100	先	儿	6	[セン]	[[さき]]	10
3678400	人	人	2	[ジン,ニン]	[[ひと]]	10
2848100	耳	耳	6	[ジ]	[[みみ]]	10
2081300	五	二	4	[ゴ]	[[いつ],[いつ,つ]]	10
923700	学	子	8	[ガク]	[[まな,ぶ]]	10
209400	一	一	1	[イチ,イツ]	[[ひと],[ひと,つ]]	10
6181200	文	文	4	[ブン,モン]	[[ふみ]]	10
5033300	天	大	4	[テン]	[[あめ],[あま]]	10
4205400	早	日	6	[ソウ,サッ]	[[はや,い],[はや,まる],[はや,める]]	10
3723800	水	水	4	[スイ]	[[みず]]	10
2916700	七	一	2	[シチ]	[[なな],[なな,つ],[なの]]	10
2117900	口	口	3	[コウ,ク]	[[くち]]	10
1184900	気	气	6	[キ,ケ]	[]	10
308000	右	口	5	[ウ,ユウ]	[[みぎ]]	10
6470400	木	木	4	[ボク,モク]	[[き],[こ]]	10
5083100	田	田	5	[デン]	[[た]]	10
4223500	草	艹	9	[ソウ]	[[くさ]]	10
3825900	正	止	5	[セイ,ショウ]	[[ただ,しい],[ただ,す],[まさ]]	10
2968300	車	車	7	[シャ]	[[くるま]]	10
2236900	校	木	10	[コウ]	[]	10
1360800	九	乙	2	[キュウ,ク]	[[ここの],[ここの,つ]]	10
315200	雨	雨	8	[ウ]	[[あめ],[あま]]	10
6505700	本	木	5	[ホン]	[[もと]]	10
5127900	土	土	3	[ド,ト]	[[つち]]	10
4335700	足	足	7	[ソク]	[[あし],[た,りる],[た,る],[た,す]]	10
3833400	生	生	5	[セイ,ショウ]	[[い,きる],[い,かす],[い,ける],[う,まれる],[う,む],[お,う],[は,える],[は,やす],[き],[なま]]	10
3028800	手	手	4	[シュ]	[[て],[た]]	10
2452500	左	工	5	[サ]	[[ひだり]]	10
1375100	休	亻	6	[キュウ]	[[やす,む],[やす,まる],[やす,める]]	10
436000	円	冂	4	[エン]	[[まる,い]]	10
6666900	名	口	6	[メイ,ミョウ]	[[な]]	10
5418000	二	二	2	[ニ]	[[ふた],[ふた,つ]]	10
4380300	村	木	7	[ソン]	[[むら]]	10
3865600	青	青	8	[セイ,ショウ]	[[あお],[あお,い]]	10
3160000	十	十	2	[ジュウ,ジッ]	[[とお],[と]]	10
2622000	三	一	3	[サン]	[[み],[み,つ],[みっ,つ]]	10
1584900	玉	玉	5	[ギョク]	[[たま]]	10
504100	王	王	4	[オウ]	[]	10
6740200	目	目	5	[モク,ボク]	[[め],[ま]]	10
5435400	日	日	4	[ニチ,ジツ]	[[ひ],[か]]	10
4474400	大	大	3	[ダイ,タイ]	[[おお],[おお,きい],[おお,いに]]	10
3945200	夕	夕	3	[セキ]	[[ゆう]]	10
3214000	出	凵	5	[シュツ,スイ]	[[で,る],[だ,す]]	10
2633600	山	山	3	[サン]	[[やま]]	10
1604700	金	金	8	[キン,コン]	[[かね],[かな]]	10
596200	音	音	9	[オン,イン]	[[おと],[ね]]	10
7104000	立	立	5	[リツ,リュウ]	[[た,つ],[た,てる]]	10
5444700	入	入	2	[ニュウ／]	[[い,る],[い,れる],[はい,る]]	10
4638500	男	田	7	[ダン,ナン]	[[おとこ]]	10
3948300	石	石	5	[セキ,シャク,コク]	[[いし]]	10
3308600	女	女	3	[ジョ,ニョ]	[[おんな],[め]]	10
2696200	子	子	3	[シ,ス]	[[こ]]	10
1680900	空	穴	8	[クウ]	[[そら],[あ,く],[あ,ける],[から]]	10
609800	下	一	3	[カ,ゲ]	[[した],[しも],[もと],[さ,げる],[さ,がる],[くだ,る],[くだ,す],[くだ,さる],[お,ろす],[お,りる]]	10
7192800	力	力	2	[リョク,リキ]	[[ちから]]	10
5481100	年	干	6	[ネン]	[[とし]]	10
4696700	竹	竹	6	[チク]	[[たけ]]	10
3955600	赤	赤	7	[セキ,シャク]	[[あか],[あか,い],[あか,らむ],[あか,らめる]]	10
3331300	小	小	3	[ショウ]	[[ちい,さい],[こ],[お]]	10
2715400	四	囗	5	[シ]	[[よ],[よ,つ],[よっ,つ],[よん]]	10
1884000	月	月	4	[ゲツ,ガツ]	[[つき]]	10
622700	火	火	4	[カ]	[[ひ],[ほ]]	10
7198600	林	木	8	[リン]	[[はやし]]	10
5607600	白	白	5	[ハク,ビャク]	[[しろ],[しら],[しろ,い]]	10
4721700	中	丨	4	[チュウ,ジュウ]	[[なか]]	10
4026200	千	十	3	[セン]	[[ち]]	10
3478400	上	一	3	[ジョウ,ショウ]	[[うえ],[うわ],[かみ],[あ,げる],[あ,がる],[のぼ,る],[のぼ,せる],[のぼ,す]]	10
2735800	糸	糸	6	[シ]	[[いと]]	10
1892600	犬	犬	4	[ケン]	[[いぬ]]	10
645600	花	艹	7	[カ]	[[はな]]	10
7380200	六	八	4	[ロク]	[[む],[む,つ],[むっ,つ],[むい]]	10
5677700	八	八	2	[ハチ]	[[や],[や,つ],[やっ,つ],[よう]]	10
4730900	虫	虫	6	[チュウ]	[[むし]]	10
4033800	川	川	3	[セン]	[[かわ]]	10
3641700	森	木	12	[シン]	[[もり]]	10
2843100	字	子	6	[ジ]	[[あざ]]	10
1896200	見	見	7	[ケン]	[[み,る],[み,える],[み,せる]]	10
838600	貝	貝	7	[]	[[かい]]	10
6531100	毎	毋	6	[マイ]	[]	9
5428500	肉	肉	6	[ニク]	[]	9
4887800	通	辶	10	[ツウ,ツ]	[[とお,る],[とお,す],[かよ,う]]	9
4135400	前	刂	9	[ゼン]	[[まえ]]	9
3516000	場	土	12	[ジョウ]	[[ば]]	9
2723600	矢	矢	5	[シ]	[[や]]	9
2156600	光	儿	6	[コウ]	[[ひか,る],[ひかり]]	9
1599300	近	辶	7	[キン]	[[ちか,い]]	9
883400	角	角	7	[カク]	[[かど],[つの]]	9
273800	引	弓	4	[イン]	[[ひ,く],[ひ,ける]]	9
6532300	妹	女	8	[マイ]	[[いもうと]]	9
5542700	馬	馬	10	[バ]	[[うま],[ま]]	9
4942000	弟	弓	7	[テイ]	[[おとうと]]	9
4176400	組	糸	11	[ソ]	[[く,む],[くみ]]	9
3535500	色	色	6	[ショク,シキ]	[[いろ]]	9
2755000	姉	女	8	[シ]	[[あね]]	9
2170900	考	耂	6	[コウ]	[[かんが,える]]	9
1750400	兄	儿	5	[ケイ]	[[あに]]	9
930400	楽	木	13	[ガク,ラク]	[[たの,しい],[たの,しむ]]	9
310600	羽	羽	6	[ウ]	[[は],[はね]]	9
6573600	万	一	3	[マン,バン]	[]	9
5586300	売	士	7	[バイ]	[[う,る],[う,れる]]	9
5052100	店	广	8	[テン]	[[みせ]]	9
4212700	走	走	7	[ソウ]	[[はし,る]]	9
3539700	食	食	9	[ショク,ジキ]	[[く,う],[く,らう],[た,べる]]	9
2765700	思	心	9	[シ]	[[おも,う]]	9
2172500	行	行	6	[コウ,ギョウ,アン]	[[い,く],[ゆ,く],[おこな,う]]	9
1754900	形	彡	7	[ケイ,ギョウ]	[[かた],[かたち]]	9
964700	活	氵	9	[カツ]	[]	9
369800	雲	雨	12	[ウン]	[[くも]]	9
6677500	明	日	8	[メイ,ミョウ]	[[あ,かり],[あか,るい],[あか,るむ],[あか,らむ],[あき,らか],[あ,ける],[あ,く],[あ,くる],[あ,かす]]	9
5597500	買	貝	12	[バイ]	[[か,う]]	9
5055400	点	灬	9	[テン]	[]	9
4396400	多	夕	6	[タ]	[[おお,い]]	9
3574900	心	心	4	[シン]	[[こころ]]	9
2782200	紙	糸	10	[シ]	[[かみ]]	9
2250300	高	高	10	[コウ]	[[たか,い],[たか],[たか,まる],[たか,める]]	9
1769700	計	訁	9	[ケイ]	[[はか,る],[はか,らう]]	9
1083500	間	門	12	[カン,ケン]	[[あいだ],[ま]]	9
462400	園	囗	13	[エン]	[[その]]	9
6693400	鳴	鳥	14	[メイ]	[[な,く],[な,る],[な,らす]]	9
5647900	麦	麦	7	[バク]	[[むぎ]]	9
5093700	電	雨	13	[デン]	[]	9
4424200	太	大	4	[タイ,タ]	[[ふと,い],[ふと,る]]	9
3650300	新	斤	13	[シン]	[[あたら,しい],[あら,た],[にい]]	9
2844800	寺	寸	6	[ジ]	[[てら]]	9
2264900	黄	黄	11	[コウ]	[[き],[こ]]	9
1982700	元	儿	4	[ゲン,ガン]	[[もと]]	9
